,tweet_id,date,time,lang,country_code
451,1356105839933853697,2021-02-01,05:03:22,en,
453,1356105843259944961,2021-02-01,05:03:22,en,
454,1356105843909951490,2021-02-01,05:03:23,en,
455,1356105847718469632,2021-02-01,05:03:23,en,
456,1356105852487254016,2021-02-01,05:03:25,en,
459,1356105858728427525,2021-02-01,05:03:26,en,
460,1356105860246872069,2021-02-01,05:03:26,en,
462,1356105873152598018,2021-02-01,05:03:30,en,
463,1356105877653098497,2021-02-01,05:03:31,en,
464,1356105878764744710,2021-02-01,05:03:31,en,
466,1356105882317115392,2021-02-01,05:03:32,en,
468,1356105883042897920,2021-02-01,05:03:32,en,
469,1356105885022470144,2021-02-01,05:03:32,en,
470,1356105889451827201,2021-02-01,05:03:33,en,
471,1356105889762127875,2021-02-01,05:03:34,en,
474,1356105893452996608,2021-02-01,05:03:34,en,
475,1356105894623232001,2021-02-01,05:03:35,en,
477,1356105897177567234,2021-02-01,05:03:35,en,
478,1356105897664122880,2021-02-01,05:03:35,en,
480,1356105906497458176,2021-02-01,05:03:37,en,
481,1356105907424296960,2021-02-01,05:03:38,en,
482,1356105909936795649,2021-02-01,05:03:38,en,
483,1356105910322683907,2021-02-01,05:03:38,en,
484,1356105912713285632,2021-02-01,05:03:39,en,
487,1356105917520031744,2021-02-01,05:03:40,en,PK
490,1356105921466781698,2021-02-01,05:03:41,en,
491,1356105924105134082,2021-02-01,05:03:42,en,
492,1356105924553879555,2021-02-01,05:03:42,en,
495,1356105930673430530,2021-02-01,05:03:43,en,
497,1356105935752577026,2021-02-01,05:03:44,en,
498,1356105941301612544,2021-02-01,05:03:46,en,
500,1356105941964386305,2021-02-01,05:03:46,en,
503,1356105953121193986,2021-02-01,05:03:49,en,
504,1356105955126042634,2021-02-01,05:03:49,en,
509,1356105963309305858,2021-02-01,05:03:51,en,
510,1356105963829342210,2021-02-01,05:03:51,en,
512,1356105969596588033,2021-02-01,05:03:53,en,
513,1356105969839857666,2021-02-01,05:03:53,en,
514,1356105970745663488,2021-02-01,05:03:53,en,
518,1356105981042831364,2021-02-01,05:03:55,en,
521,1356105987841638401,2021-02-01,05:03:57,en,
522,1356105988512882688,2021-02-01,05:03:57,en,
525,1356105995144081409,2021-02-01,05:03:59,en,
526,1356105995219566592,2021-02-01,05:03:59,en,
528,1356105997329313792,2021-02-01,05:03:59,en,
530,1356105999212367873,2021-02-01,05:04:00,en,
531,1356106000885903363,2021-02-01,05:04:00,en,
534,1356106003121639426,2021-02-01,05:04:01,en,
536,1356106004900016129,2021-02-01,05:04:01,en,
538,1356106005214466050,2021-02-01,05:04:01,en,
539,1356106005269016577,2021-02-01,05:04:01,en,
540,1356106005780733955,2021-02-01,05:04:01,en,
542,1356106005931679744,2021-02-01,05:04:01,en,
544,1356106008624553985,2021-02-01,05:04:02,en,
545,1356106008720904195,2021-02-01,05:04:02,en,
